cod_territorio,nome_territorio,cod_municipio,nome_municipio
01,Irecê,,América Dourada
01,Irecê,,Barra do Mendes
01,Irecê,,Barro Alto
01,Irecê,,Cafarnaum
01,Irecê,,Canarana
01,Irecê,,Central
01,Irecê,,Gentio do Ouro
01,Irecê,,Ibipeba
01,Irecê,,Ibititá
01,Irecê,,Ipupiara
01,Irecê,,Irecê
01,Irecê,,Itaguaçu da Bahia
01,Irecê,,João Dourado
01,Irecê,,Jussara
01,Irecê,,Lapão
01,Irecê,,Mulungu do Morro
01,Irecê,,Presidente Dutra
01,Irecê,,São Gabriel
01,Irecê,,Uibaí
01,Irecê,,Xique-Xique 
02,Velho Chico,,Barra
02,Velho Chico,,Bom Jesus da Lapa
02,Velho Chico,,Brotas de Macaúbas
02,Velho Chico,,Carinhanha
02,Velho Chico,,Feira da Mata
02,Velho Chico,,Ibotirama
02,Velho Chico,,Igaporã
02,Velho Chico,,Malhada
02,Velho Chico,,Matina
02,Velho Chico,,Morpará 
02,Velho Chico,,Muquém do São Francisco
02,Velho Chico,,Oliveira dos Brejinhos
02,Velho Chico,,Paratinga
02,Velho Chico,,Riacho de Santana
02,Velho Chico,,Serra do Ramalho
02,Velho Chico,,Sítio do Mato
03,Chapada Diamantina,,Abaíra
03,Chapada Diamantina,,Andaraí
03,Chapada Diamantina,,Barra da Estiva
03,Chapada Diamantina,,Boninal
03,Chapada Diamantina,,Bonito
03,Chapada Diamantina,,Ibicoara
03,Chapada Diamantina,,Ibitiara
03,Chapada Diamantina,,Iramaia
03,Chapada Diamantina,,Iraquara
03,Chapada Diamantina,,Itaeté
03,Chapada Diamantina,,Jussiape
03,Chapada Diamantina,,Lençóis
03,Chapada Diamantina,,Marcionílio Souza
03,Chapada Diamantina,,Morro do Chapéu
03,Chapada Diamantina,,Mucugê
03,Chapada Diamantina,,Nova Redenção
03,Chapada Diamantina,,Novo Horizonte
03,Chapada Diamantina,,Palmeiras
03,Chapada Diamantina,,Piatã
03,Chapada Diamantina,,Rio de Contas
03,Chapada Diamantina,,Seabra
03,Chapada Diamantina,,Souto Soares
03,Chapada Diamantina,,Utinga
03,Chapada Diamantina,,Wagner
04,Sisal,,Araci
04,Sisal,,Barrocas
04,Sisal,,Biritinga
04,Sisal,,Candeal
04,Sisal,,Cansanção
04,Sisal,,Conceição do Coité
04,Sisal,,Ichu
04,Sisal,,Itiúba
04,Sisal,,Lamarão
04,Sisal,,Monte Santo
04,Sisal,,Nordestina
04,Sisal,,Queimadas
04,Sisal,,Quijingue
04,Sisal,,Retirolândia
04,Sisal,,Santaluz
04,Sisal,,São Domingos
04,Sisal,,Serrinha
04,Sisal,,Teofilândia
04,Sisal,,Tucano
04,Sisal,,Valente
05,Litoral Sul,,Almadina
05,Litoral Sul,,Arataca
05,Litoral Sul,,Aurelino Leal
05,Litoral Sul,,Barro Preto
05,Litoral Sul,,Buerarema
05,Litoral Sul,,Camacan
05,Litoral Sul,,Canavieiras
05,Litoral Sul,,Coaraci
05,Litoral Sul,,Floresta Azul
05,Litoral Sul,,Ibicaraí
05,Litoral Sul,,Ilhéus
05,Litoral Sul,,Itabuna
05,Litoral Sul,,Itacaré
05,Litoral Sul,,Itaju do Colônia
05,Litoral Sul,,Itajuípe
05,Litoral Sul,,Itapé
05,Litoral Sul,,Itapitanga
05,Litoral Sul,,Jussari
05,Litoral Sul,,Maraú
05,Litoral Sul,,Mascote
05,Litoral Sul,,Pau Brasil
05,Litoral Sul,,Santa Luzia
05,Litoral Sul,,São José da Vitória
05,Litoral Sul,,Ubaitaba
05,Litoral Sul,,Una
05,Litoral Sul,,Uruçuca
06,Baixo Sul,,Aratuípe
06,Baixo Sul,,Cairu
06,Baixo Sul,,Camamu
06,Baixo Sul,,Gandu
06,Baixo Sul,,Ibirapitanga
06,Baixo Sul,,Igrapiúna
06,Baixo Sul,,Ituberá
06,Baixo Sul,,Jaguaripe
